review_id,author,rating,time,text
Ci9DQUlRQUNvZENodHljRjlvT25jdE9HaFRjRU5zZVdoRVIwbFZkVTFuYTIxNFNtYxAB,Linh Vu,5,5 months ago,"Surprisingly good! Fair price, has daily pass as well. 5/5!"
ChdDSUhNMG9nS0VJQ0FnSURud05tRTRBRRAB,Duy Huỳnh Văn,5,a year ago,"I had a wonderful experience with the beautiful place right there. This is the first time I came to here, but the staff always help me with the pleasure.The PT coach is really professional, experience and friendly as well. My mate recommend this place for me that is absolutely worthy."
ChdDSUhNMG9nS0VJQ0FnSUR2cmEzZDlBRRAB,Vu Dang Khoa,5,a year ago,"Its so clean, beauty and good service to me!"
Ci9DQUlRQUNvZENodHljRjlvT2pkSWN6ZFZiemRwWm5keVRrdzJiRUpLTW5aelNWRRAB,Gia Hieu Hoàng,5,11 months ago,Ifbb pro
ChdDSUhNMG9nS0VJQ0FnTURvMHFlOGd3RRAB,HIỂN LÊ VĂN,5,a year ago,Clean gym
Ci9DQUlRQUNvZENodHljRjlvT2poS1NYWnFUMFUzYjNkblpXeGhhbXB4VVhKRlJtYxAB,Nguyễn Quốc Việt,5,a year ago,ok
ChdDSUhNMG9nS0VJQ0FnSURuMElueW9nRRAB,Khải Trương,5,a year ago,Good
Ci9DQUlRQUNvZENodHljRjlvT25ScmFWbFZNRWxqVXpneFNGZHBNM1JVY0doRmJrRRAB,Anh Huỳnh,5,a month ago,Is clean and help me with my health it even have trainer too
Ci9DQUlRQUNvZENodHljRjlvT21ocFluaFZjVVJuVlV3MmNYQkdUVEU0TlRreE5tYxAB,Jack McCaughan,5,a month ago,Great that you can pay in for a day pass and really has everything you need.
Ci9DQUlRQUNvZENodHljRjlvT2xKeVZXaFRVMXBCVUd0UFZUZG1iMmt5V2xoelMzYxAB,Thảo Nguyễn,5,2 months ago,"Here are some of my small successes after 4 months of training here: I went from 52kg to 49kg, my waist circumference increased by 2cm, my back and shoulders are more defined, not only has my fitness improved, but I've also formed a habit of regular exercise, I feel more relaxed, look more beautiful, and feel more confident.

I've trained with two personal trainers, Tony and Thai, both of whom have been very supportive. My initial goal was to be able to train on my own after 3 months with a PT, and indeed, after 3 months I could train on my own. But because of Thai's dedication and expertise, I've continued with him for 4 months now. He's very dedicated and not at all careless; his personalized training plan is tailored to my individual goals, he carefully observes and corrects my form during each session, and explains all my questions thoroughly, not just going through the motions. Plus, he makes great videos – I have tons of great photos for social media after my workouts! ^^
The training space is comfortable, not too crowded, and I don't have to worry about being overcharged like with chain stores.

I've also had some small successes after 4 months of training here. Overall, it's great. If there were more machines for women, I'd definitely stay here forever!"
Ci9DQUlRQUNvZENodHljRjlvT2xNNWRpMVVTbDloWm5VMGNscHZNWHB3VDBrMWMxRRAB,Vũ Lâm,5,a month ago,"The rooms are great, the service is excellent, and the equipment is fantastic. The staff are very helpful, and there's a lovely and enthusiastic receptionist named Tram. Overall, 10 out of 10."
Ci9DQUlRQUNvZENodHljRjlvT2xCSGNreHdZa1k0TVROVFExTkhNVzFPVFZOYVowRRAB,Huyền Nguyễn,5,5 months ago,"I went from 59kg to 52kg after training with Mr. Thai. It was worth choosing the right training partner. I gained muscle and lost fat the right way. In the first few months, the weight loss was a bit slower than expected, like losing … More"
Ci9DQUlRQUNvZENodHljRjlvT21KV1NqaHlSbVJRVjFCS04zQlFRMlpOTkVKWGRrRRAB,Doan Dac Thien,5,4 months ago,"I've been working out here for 4 months now. Overall, the gym is well-equipped, spacious, and clean. The personal trainers are friendly, and especially Ms. Phuong is very dedicated, cheerful, and supportive."
Ci9DQUlRQUNvZENodHljRjlvT21sUVNFaDBUM1l6WDBkYU4zTm9Na05XYmxOUVQzYxAB,Khôi Nguyễn,5,4 months ago,I found the training here to be great and recommended it to my friends! There's a sales representative named Phuong who's very helpful.
