video_url,author,comment,likes,time
https://www.tiktok.com/@the.shine.fitness/video/7436394917347298578,_xuefei_,check ib ạ,,"2025-9-23

Trả lời

1"
https://www.tiktok.com/@the.shine.fitness/video/7436394917347298578,pon pon,chi phí 1 tháng bnhiu ạ,,"2025-5-24

Trả lời

1"
https://www.tiktok.com/@the.shine.fitness/video/7436394917347298578,Heo Đất,có chi nhánh đâu nữa kg e,,"2025-2-24

Trả lời

1"
https://www.tiktok.com/@the.shine.fitness/video/7436394917347298578,𝓠𝓾ỳ𝓷𝓱 𝓺𝓾ỳ𝓷𝓱,Dạ cho e xin giá tập yoga ạ,,"2025-7-25

Trả lời

1"
https://www.tiktok.com/@the.shine.fitness/video/7448638568240614664,thuanhuynh♉,Đặt sai cam rồi,,"2024-12-16

Trả lời

73"
https://www.tiktok.com/@the.shine.fitness/video/7448638568240614664,vlxx,tôi nhận thua 👍,,"2024-12-17

Trả lời

6"
https://www.tiktok.com/@the.shine.fitness/video/7448638568240614664,M.Onè 🐾,Ib giá với ạ,,"2025-9-13

Trả lời

1"
https://www.tiktok.com/@the.shine.fitness/video/7448638568240614664,thanhtienpl,t cần góc nhìn thứ 1,,"2025-1-24

Trả lời

1"
https://www.tiktok.com/@the.shine.fitness/video/7448638568240614664,Nhật Nam,tui đang nhìn con mắt ông pt thôi mà ko thấy,,"2024-12-16

Trả lời

1"
https://www.tiktok.com/@the.shine.fitness/video/7448638568240614664,HiLo nè!,Học viên như này thì tâm phải tịnh tinh thần phải thép 😁,,"2024-12-19

Trả lời

1"
https://www.tiktok.com/@the.shine.fitness/video/7448638568240614664,Trải nghiệm,Tôi lo thằng PT chảy máu mũi😂,,"2024-12-17

Trả lời

2"
https://www.tiktok.com/@the.shine.fitness/video/7448638568240614664,QY,Ông PT chống bằng 3 tay chả thế 😌😌😌,,"2025-1-18

Trả lời

0"
https://www.tiktok.com/@the.shine.fitness/video/7448638568240614664,paige_phng,Thật muốn biết anh PT này là ai quá đi 😍,,"2024-12-17

Trả lời

1"
https://www.tiktok.com/@the.shine.fitness/video/7448638568240614664,pdthun,View triệu đô,,"2024-12-17

Trả lời

2"
https://www.tiktok.com/@the.shine.fitness/video/7448638568240614664,Mario Maure,thằng PT mắt nó nhìn j vậy 🤣🤣🤣,,"2024-12-16

Trả lời

1"
https://www.tiktok.com/@the.shine.fitness/video/7448638568240614664,Đạt hay suy...,góc nhìn thứ nhất đâu,,"2024-12-20

Trả lời

1"
https://www.tiktok.com/@the.shine.fitness/video/7448638568240614664,Cris Huỳnh,"Tính t nóng vội, chắc ko làm nghề này đc",,"2024-12-24

Trả lời

0"
https://www.tiktok.com/@the.shine.fitness/video/7448638568240614664,+h,Check ác,,"2024-12-17

Trả lời

1"
https://www.tiktok.com/@the.shine.fitness/video/7448638568240614664,Nguyễn Danh 💔💔💔💔,😂😂😂,,"2024-12-16

Trả lời

2"
https://www.tiktok.com/@the.shine.fitness/video/7448638568240614664,mèo phan,😂😂😂,,"2024-12-17

Trả lời

1"
https://www.tiktok.com/@the.shine.fitness/video/7448638568240614664,Văn Y💸,👏👏👏,,"2024-12-16

Trả lời

1"
https://www.tiktok.com/@the.shine.fitness/video/7448638568240614664,Lu Ân,Cành này quen quen bây ơi 😅,,"2024-12-17

Trả lời

1"
https://www.tiktok.com/@the.shine.fitness/video/7448638568240614664,ngọc le685,thứ gì chịu nổi,,"2024-12-16

Trả lời

2"
https://www.tiktok.com/@the.shine.fitness/video/7448638568240614664,Nguyễn Thái 93,Hít song thì quay sang bên lại còn nhìn,,"2024-12-18

Trả lời

0"
