platform,url,caption,views
TikTok,https://www.tiktok.com/@the.shine.fitness/video/7436394917347298578,Review phòng tập The Shine Fitness #Xuhuong #reviewphongtap #theshine  do The Shine Fitness and Yoga tạo với bản nhạc nhạc nền của The Shine Fitness and Yoga,5868
TikTok,https://www.tiktok.com/@the.shine.fitness/video/7448638568240614664,"Đi tập là chính, mà vui là mườii🥹 #xuhuong  #gym  #Theshine do The Shine Fitness and Yoga tạo với bản nhạc nhạc nền của The Shine Fitness and Yoga",257.6K
TikTok,https://www.tiktok.com/@the.shine.fitness/video/7671122663779077394,Chắc chắn là có mâu thuẫn từ trước chứ không thể nào var nhau mượt như thế này được 😳😳#TheShineFitness #Gym #Yoga #Boxing #Gymtanbinh  do The Shine Fitness and Yoga tạo với bản nhạc Mysterious low sound music box simple(1438490) của K.AKI,973
TikTok,https://www.tiktok.com/@the.shine.fitness/video/7670770462690938130,"⚡ Không cần ăn k.iêng khổ sở để sở hữu vóc dáng bạn mong muốn. Điều tạo nên kết quả không nằm ở việc bạn bỏ bao nhiêu bữa ăn, mà nằm ở việc bạn có đang đi đúng hướng hay không. #TheShineFitness #Gym #Yoga #Boxing #Gymtanbinh  do The Shine Fitness and Yoga tạo với bản nhạc âm thanh gốc - The Shine Fitness and Yoga của The Shine Fitness and Yoga",586
TikTok,https://www.tiktok.com/@the.shine.fitness/video/7670377124997385479,"Thấy khách có "" dấu hiệu lạ "" là PT nhà mình vào an ủi ngay ... 🖖 Trải nghiệm ngay phòng tập riêng tư  - Đóng phí từng tháng, khu vực Quận Tân Bình 👇 🏛️ The Shine Fitness: 154 Hoàng Hoa Thám, Phường Bảy Hiền, TP. HCM 📌Tiktok: https://www.tiktok.com/@the.shine.fitness #TheShineFitness  #Gym #Yoga #Boxing #Gymtanbinh do The Shine Fitness and Yoga tạo với bản nhạc âm thanh gốc - The Shine Fitness and Yoga của The Shine Fitness and Yoga",647
TikTok,https://www.tiktok.com/@the.shine.fitness/video/7618451785769930004,Các con DỢ * đi tập Gym chưa nè? #theshine #fitness #yoga #boxing #gym  do The Shine Fitness and Yoga tạo với bản nhạc âm thanh gốc - The Shine Fitness and Yoga của The Shine Fitness and Yoga,1284
TikTok,https://www.tiktok.com/@the.shine.fitness/video/7611035520784796936,Các bạn đã quay lại tập luyện chưa ạ??? #gym #fitness #yoga #boxing #theshine  do The Shine Fitness and Yoga tạo với bản nhạc âm thanh gốc - The Shine Fitness and Yoga của The Shine Fitness and Yoga,1053
TikTok,https://www.tiktok.com/@the.shine.fitness/video/7599915204327083272,The Shine Fitness Tân Bình #gym #fitness #yoga #boxing  do The Shine Fitness and Yoga tạo với bản nhạc nhạc nền - 𝘿𝙅 𝙋𝙒 𝙭 𝘿𝙅 𝙋𝘼𝘿 ♪ của 𝙋𝙖𝙙 𝙈𝙪𝙨𝙞𝙘 𝙏𝙚𝙖𝙢 🚬,2418
TikTok,https://www.tiktok.com/@the.shine.fitness/video/7537298130996612359,Tập như này nó sai sai ...🤨🤨😳 #gym #xuhuong #theshine #fitness do The Shine Fitness and Yoga tạo với bản nhạc nhạc nền của The Shine Fitness and Yoga,2232
TikTok,https://www.tiktok.com/@the.shine.fitness/video/7514681693760982290,"""Tiếp Tục"" hay ""Bỏ Cuộc"" #xuhuong  #Gym #Theshine do The Shine Fitness and Yoga tạo với bản nhạc suara asli - lintang27 của lintang27",1710
TikTok,https://www.tiktok.com/@the.shine.fitness/video/7509498445418302727,Đã bao lâu rồi👏 #Theshinefitness #gym #Tanbinh do The Shine Fitness and Yoga tạo với bản nhạc เสียงต้นฉบับ - weerawatnopniyom của weerawatnopniyom,942
TikTok,https://www.tiktok.com/@the.shine.fitness/video/7450132659583470866,Hôm nay chúng ta học đếm số nha mn🤭🤭 #xuhuong #fitness  #theshine  do The Shine Fitness and Yoga tạo với bản nhạc nhạc nền của The Shine Fitness and Yoga,3292
TikTok,https://www.tiktok.com/@the.shine.fitness/video/7449761047809969416,"Cũng đi tập, mà sơ hở tí là....🥹 #xuhuong  #gym  #Theshine do The Shine Fitness and Yoga tạo với bản nhạc nhạc nền của The Shine Fitness and Yoga",2699
TikTok,https://www.tiktok.com/@the.shine.fitness/video/7448984856819731720,Người hướng nội đi tập kiểu...!!! #xuhuong  #gym  #Theshine do The Shine Fitness and Yoga tạo với bản nhạc nhạc nền của The Shine Fitness and Yoga,4752
TikTok,https://www.tiktok.com/@the.shine.fitness/video/7433815024767929621,Cũng là PT nhưng mà lạ lắm!! #fyp #xuhuongtiktok2024  #Theshine #gym  do The Shine Fitness and Yoga tạo với bản nhạc nhạc nền của The Shine Fitness and Yoga,5864
TikTok,https://www.tiktok.com/@the.shine.fitness/video/7432539924554910996,Clip này dành cho các CHỊ EM muốn có một vòng eo săn chắc và thon gọn! #Theshine  #phongtaptanbinh  #Gym  do The Shine Fitness and Yoga tạo với bản nhạc Motivate Corporate Main của Zakhar Valaha Music,2946
TikTok,https://www.tiktok.com/@the.shine.fitness/video/7431150042146196754,Series chinh phục các bài tập tại The Shine Fitness #Theshine #Gym #phongtaptanbinh  do The Shine Fitness and Yoga tạo với bản nhạc nhạc nền của The Shine Fitness and Yoga,3177
TikTok,https://www.tiktok.com/@the.shine.fitness/video/7426022876295220498,"Một ngày tập luyện tại The Shine sẽ như thế nào! #xuhuongtiktok  #Theshinefitness #Gym do The Shine Fitness and Yoga tạo với bản nhạc TÌNH ĐẦU QUÁ CHÉN (feat. Quang Hùng MasterD, Negav, Pháp Kiều & Erik) của ANH TRAI ""SAY HI""",2794
TikTok,https://www.tiktok.com/@the.shine.fitness/video/7425822695402622229,"Cách Để Cảm Nhận Cơ ""TAY TRƯỚC"" Tốt Hơn! #Theshinefitness #Gym #phongtaptanbinh  do The Shine Fitness and Yoga tạo với bản nhạc nhạc nền của The Shine Fitness and Yoga",1931
